match,1,0,2
Hammarby IF - Halmstad,1.26,5.80,10.00
Anglie U21 - Německo U21,2.70,3.40,2.51
Mexiko - S. Arábie,1.46,4.20,7.20
PSG - Inter Miami,1.23,6.90,9.50
SL Benfica - Chelsea,3.95,3.55,1.85
Palmeiras SP - Botafogo FR RJ,2.21,2.93,3.29
Seinajoen JK - IFK Mariehamn,1.80,3.40,4.35
Flamengo RJ - Bayern,3.55,3.65,1.86
IFK Varnamo - Elfsborg,3.85,3.55,1.89
USA - Kostarika,1.57,4.10,5.80
